Data,Cotação (R$/arroba)
2022-08-01 00:00:00,315.5
2022-08-15 00:00:00,308.2
2022-09-01 00:00:00,300.7
2022-09-15 00:00:00,295.1
2022-10-03 00:00:00,285.9
2022-10-17 00:00:00,282.4
2022-11-01 00:00:00,275.3
2022-11-16 00:00:00,278.8
2022-12-01 00:00:00,280.6
2022-12-15 00:00:00,285.2
2023-01-02 00:00:00,290.1
2023-01-16 00:00:00,286.5
2023-02-01 00:00:00,295.4
2023-02-15 00:00:00,291.3
2023-03-01 00:00:00,280.7
2023-03-15 00:00:00,276.9
2023-04-03 00:00:00,270.2
2023-04-17 00:00:00,265.8
2023-05-02 00:00:00,260.5
2023-05-15 00:00:00,255.1
2023-06-01 00:00:00,250.3
2023-06-15 00:00:00,245.9
2023-07-03 00:00:00,240.2
2023-07-17 00:00:00,235.7
2023-08-01 00:00:00,230.9
2023-08-15 00:00:00,225.4
2023-09-01 00:00:00,220.1
2023-09-15 00:00:00,215.8
2023-10-02 00:00:00,210.6
2023-10-16 00:00:00,208.3
2023-11-01 00:00:00,200.9
2023-11-16 00:00:00,205.2
2023-12-01 00:00:00,210.7
2023-12-15 00:00:00,218.4
2024-01-02 00:00:00,251.5
2024-01-15 00:00:00,242.8
2024-02-01 00:00:00,238.1
2024-02-15 00:00:00,237.3
2024-03-01 00:00:00,229.9
2024-03-15 00:00:00,226.2
2024-04-01 00:00:00,235.6
2024-04-15 00:00:00,233.4
2024-05-02 00:00:00,230.1
2024-05-15 00:00:00,225.8
2024-06-03 00:00:00,223.7
2024-06-17 00:00:00,221.2
2024-07-01 00:00:00,220.5
2024-07-15 00:00:00,224.9
2024-08-01 00:00:00,228.3
2024-08-15 00:00:00,235.1
2024-09-02 00:00:00,240.7
2024-09-16 00:00:00,245.3
2024-10-01 00:00:00,255.8
2024-10-15 00:00:00,260.2
2024-11-01 00:00:00,265.9
2024-11-15 00:00:00,270.4
2024-12-02 00:00:00,275.1
2024-12-16 00:00:00,280.6
2025-01-02 00:00:00,285.3
2025-01-15 00:00:00,289.8
2025-02-03 00:00:00,302.5
2025-02-14 00:00:00,308.2
2025-03-03 00:00:00,304.7
2025-03-17 00:00:00,294.1
2025-04-01 00:00:00,283.9
2025-04-15 00:00:00,273.5
2025-05-02 00:00:00,263.8
2025-05-15 00:00:00,254.2
2025-06-02 00:00:00,243.1
2025-06-16 00:00:00,233.9
2025-06-27 00:00:00,317.0
2025-07-01 00:00:00,315.0
2025-07-15 00:00:00,305.0
2025-07-25 00:00:00,297.0
2025-08-01 00:00:00,294.35
