data;preco_brl_arroba;preco_bezerro_brl;preco_soja_brl;preco_milho_brl;Boi com 20@/Garrote;Boi com 20@/soja;Boi com 20@/milho;milho(80)+soja(20)
01/01/2015;144.62;1191.22;61.17;28.72;2.4280989237924144;47.28461664214484;100.71030640668525;1109.376
01/02/2015;143.01;1259.24;61.5;26.85;2.2713700327181474;46.50731707317073;106.52513966480446;1061.295
01/03/2015;143.78;1296.47;65.84;29.31;2.218022784946817;43.675577156743614;98.10986011600137;1151.281
01/04/2015;147.97;1430.0;70.65;29.3;2.0695104895104897;41.888181174805375;101.00341296928327;1177.9499999999998
01/05/2015;149.04;1404.87;67.73;25.91;2.1217621559290185;44.01003986416654;115.04438440756464;1071.085
01/06/2015;147.2;1424.49;67.45;25.0;2.066704574970691;43.64714603409933;117.76;1045.22
01/07/2015;143.71;1356.74;70.22;25.46;2.1184604272004957;40.93135858729707;112.89080911233307;1073.0140000000001
01/08/2015;143.11;1213.72;76.29;26.16;2.3582045282272683;37.51736793813082;109.41131498470949;1125.696
01/09/2015;143.24;1265.52;77.62;28.69;2.2637334850496242;36.90801339860861;99.85360752875566;1200.6950000000002
01/10/2015;144.79;1269.62;83.65;33.52;2.2808399363589107;34.618051404662275;86.39021479713603;1363.424
01/11/2015;148.32;1317.87;81.37;33.69;2.250904869220788;36.45569620253164;88.04986642920747;1355.195
01/12/2015;147.57;1369.0;81.09;33.82;2.1558802045288528;36.39659637439881;87.26788882318154;1357.098
01/01/2016;149.34;1277.22;81.64;37.31;2.3385164654483956;36.58500734933856;80.05360493165371;1453.3609999999999
01/02/2016;152.97;1381.48;79.32;42.54;2.2145814633581375;38.570347957639946;71.91819464033851;1580.01
01/03/2016;155.44;1371.24;76.34;44.19;2.267145065779878;40.723080953628504;70.35075809006564;1607.377
01/04/2016;157.99;1387.4;75.0;49.91;2.277497477295661;42.13066666666667;63.309957924263685;1752.597
01/05/2016;154.07;1435.66;82.79;49.2;2.1463299109817084;37.21947095059789;62.630081300812996;1777.2640000000001
01/06/2016;156.43;1328.24;92.61;53.21;2.3554478106366323;33.78252888456971;58.797218567938366;1939.3229999999999
01/07/2016;156.16;1282.78;92.31;41.12;2.4347121096368824;33.83382082114613;75.95330739299611;1614.8400000000001
01/08/2016;152.52;1281.34;82.77;48.55;2.3806327750636056;36.853932584269664;62.83007209062822;1759.7969999999998
01/09/2016;148.46;1294.13;79.47;42.4;2.294359917473515;37.362526739650185;70.02830188679246;1577.1119999999999
01/10/2016;152.76;1299.46;77.67;41.89;2.3511304695796715;39.33565083043646;72.93387443303891;1553.415
01/11/2016;150.03;1232.2;77.0;40.83;2.43515663041714;38.968831168831166;73.49008082292433;1521.3609999999999
01/12/2016;149.43;1248.21;79.77;36.54;2.3943086499867814;37.46521248589696;81.78981937602629;1422.33
01/01/2017;148.93;1236.25;77.22;38.51;2.40938321536906;38.57290857290858;77.346143858738;1460.649
01/02/2017;145.77;1228.23;74.17;36.06;2.3736596565789796;39.30699743831738;80.8485856905158;1378.154
01/03/2017;144.19;1164.16;72.41;35.96;2.4771509070918087;39.82599088523685;80.19466073414905;1365.628
01/04/2017;134.85;1145.7;65.05;29.39;2.3540193768002093;41.46041506533436;91.76590677101055;1148.993
01/05/2017;137.45;1091.28;68.26;27.91;2.5190601862033577;40.272487547612066;98.49516302400573;1127.453
01/06/2017;131.57;1080.38;67.23;26.52;2.435624502489864;39.14026476275472;99.2232277526395;1084.572
01/07/2017;126.37;1100.78;71.48;26.1;2.2960082850342487;35.358142137660884;96.83524904214559;1097.158
01/08/2017;127.05;1090.63;69.98;25.36;2.3298460522817086;36.31037439268362;100.19716088328076;1069.0
01/09/2017;145.14;1124.45;69.44;27.35;2.5815287473876114;41.80299539170507;106.13528336380254;1119.109
01/10/2017;141.5;1184.14;70.58;30.39;2.3899201107977097;40.09634457353358;93.12273774267851;1206.661
01/11/2017;139.6;1192.34;73.48;32.89;2.3416139691698676;37.99673380511704;84.8890240194588;1289.651
01/12/2017;143.25;1206.32;74.51;30.93;2.3749917103256184;38.451214602066834;92.62851600387972;1243.087
01/01/2018;145.9;1148.75;72.41;33.77;2.540152339499456;40.29830133959398;86.40805448623037;1307.1550000000002
01/02/2018;144.4;1146.15;71.49;32.84;2.5197399991275136;40.397258357812284;87.94153471376369;1277.172
01/03/2018;145.0;1207.1;78.82;39.74;2.4024521580647837;36.79269221009896;72.97433316557624;1502.4499999999998
01/04/2018;143.45;1186.38;81.36;39.87;2.4182808206476842;35.263028515240904;71.95886631552547;1520.145
01/05/2018;144.1;1183.07;87.3;39.81;2.436035061323506;33.01260022909508;72.39387088671188;1551.807
01/06/2018;140.3;1199.07;86.89;45.89;2.340146947217427;32.29370468408332;61.14621921987361;1711.8469999999998
01/07/2018;139.6;1147.54;87.07;36.78;2.43303065688342;32.06615366946136;75.91082109842306;1469.618
01/08/2018;144.95;1151.12;88.6;39.45;2.5184168462019603;32.72009029345373;73.48542458808618;1549.475
01/09/2018;147.85;1150.92;91.52;40.9;2.5692489486671533;32.30987762237763;72.29828850855746;1604.542
01/10/2018;152.0;1144.89;96.39;39.32;2.6552769261675793;31.53854134246291;77.31434384537131;1589.6280000000002
01/11/2018;145.1;1212.73;85.79;34.26;2.392948141795783;33.82678633873412;84.70519556333917;1395.166
01/12/2018;147.55;1254.12;82.93;37.54;2.3530443657704208;35.58422766188351;78.6094832179009;1466.726
